filename,Language,Story_type,exists,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_1.1,mfcc_2.1,mfcc_3.1,mfcc_4.1,mfcc_5.1,mfcc_6.1,mfcc_7.1,mfcc_8.1,mfcc_9.1,mfcc_10.1,mfcc_11.1,mfcc_12.1,mfcc_13.1,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
00001.wav,Chinese,True Story,True,-605.13245,114.06797,34.237747,26.508791,14.176401,-0.83241576,-0.24442287,1.9840821,3.5147812,1.4265852,0.8366943,5.7564993,2.3727574,-605.1324462890625,114.0679702758789,34.23774719238281,26.508790969848636,14.176401138305664,-0.832415759563446,-0.2444228678941726,1.9840821027755735,3.51478123664856,1.4265851974487305,0.8366943001747131,5.756499290466309,2.3727574348449707,0.6305575370788574,0.6240785121917725,0.6120056509971619,0.5911635756492615,0.5706144571304321,0.5519396066665649,0.5357823371887207,0.5502867102622986,0.5734577775001526,0.6038713455200195,0.6404841542243958,0.639403223991394,15.44439453373328,11.08884681137933,14.155830982046584,16.11144186344118,14.558472118351387,17.09587475580489,18.23726807322573,-0.0254305741186047,0.0190319708444756,0.0444128585523996,0.0527745786321858,0.0025927380951192,-0.0200583232448247,-605.13245,114.06797,34.237747,26.508791,14.176401,-0.83241576,-0.24442287,1.9840821,3.5147812,1.4265852,0.8366943,5.7564993,2.3727574
00002.wav,Chinese,True Story,True,-316.85068,136.82022,-7.2979655,39.13258,11.583094,-1.9672576,-9.382646,14.613569,-4.956619,-15.802443,1.3262029,-11.035066,-4.753993,-316.8506774902344,136.82022094726562,-7.29796552658081,39.1325798034668,11.583093643188477,-1.9672576189041135,-9.382645606994627,14.613569259643556,-4.956618785858154,-15.80244255065918,1.3262028694152832,-11.03506565093994,-4.753993034362793,0.4467014074325561,0.4576601088047027,0.4529178142547607,0.470707893371582,0.4561030268669128,0.3992348313331604,0.398279070854187,0.416384607553482,0.4370389282703399,0.424323558807373,0.4573426842689514,0.4435780048370361,18.958017988398645,12.338058478263758,15.57191788235135,15.703397249800586,16.495862840239372,19.961162908676563,36.06815799544724,-0.0033299338666494,-0.0063505127008255,-0.0019425991489942,0.0077755325739981,-0.0058947209222354,0.0031311484495607,-316.85068,136.82022,-7.2979655,39.13258,11.583094,-1.9672576,-9.382646,14.613569,-4.956619,-15.802443,1.3262029,-11.035066,-4.753993
00003.wav,Chinese,True Story,True,-326.6851,159.83156,-26.623924,19.214945,21.553696,-6.1980205,13.534205,-0.23768003,2.2649033,8.9457445,-17.445728,-3.3220415,12.965129,-326.6850891113281,159.83155822753906,-26.623924255371094,19.21494483947754,21.553695678710938,-6.198020458221436,13.534205436706545,-0.2376800328493118,2.26490330696106,8.945744514465332,-17.445728302001953,-3.3220415115356445,12.965128898620604,0.4437038600444793,0.4542463719844818,0.4419216811656952,0.4456004798412323,0.4603937268257141,0.4734557271003723,0.4780134558677673,0.4940763711929321,0.5227890014648438,0.4771028459072113,0.476900577545166,0.4727826416492462,16.829731462611445,11.191502317737076,15.459052136252438,15.916757096052196,17.588399886679785,20.89033291064248,33.33025155747848,-0.0181177919788377,0.0112187453828317,0.0022154794634433,-0.0161146011505861,0.0068798196205905,-0.001823299728517,-326.6851,159.83156,-26.623924,19.214945,21.553696,-6.1980205,13.534205,-0.23768003,2.2649033,8.9457445,-17.445728,-3.3220415,12.965129
00004.wav,Chinese,True Story,True,-397.98654,135.06212,7.8529277,33.18321,20.20768,-1.4229982,4.8678327,-3.5206773,0.9069164,-0.7169413,-5.4361606,-1.6209475,-7.769153,-397.9865417480469,135.06211853027344,7.852927684783935,33.18320846557617,20.20767974853516,-1.4229981899261477,4.867832660675049,-3.520677328109741,0.9069163799285888,-0.7169412970542908,-5.436160564422607,-1.6209474802017212,-7.769153118133545,0.2800937294960022,0.3172582685947418,0.4213689565658569,0.4093808233737945,0.4028362929821014,0.4550189971923828,0.4854690134525299,0.5189484357833862,0.5194165110588074,0.5043579339981079,0.4116367101669311,0.3189899921417236,19.990646214309887,11.407595527505006,17.75016754955228,18.99590146582674,19.48010029273913,22.39564234291364,32.351500529059635,0.0112868028363155,0.0145135716014849,-0.0510110037258345,-0.0424617526154707,8.460454715700826e-05,0.0068510095566785,-397.98654,135.06212,7.8529277,33.18321,20.20768,-1.4229982,4.8678327,-3.5206773,0.9069164,-0.7169413,-5.4361606,-1.6209475,-7.769153
00005.wav,Chinese,True Story,True,-547.35046,114.922195,20.684639,28.967375,14.184715,12.734907,9.843177,3.6676927,5.8762865,3.7476273,-0.06458434,2.1261096,1.8919406,-547.3504638671875,114.92219543457033,20.68463897705078,28.967374801635746,14.184715270996094,12.734907150268556,9.84317684173584,3.6676926612854,5.876286506652832,3.747627258300781,-0.0645843371748924,2.1261096000671387,1.8919405937194824,0.6715692281723022,0.6076632738113403,0.5550947785377502,0.531740665435791,0.5184282064437866,0.5108100175857544,0.4913417398929596,0.5113263130187988,0.5709052681922913,0.6418625712394714,0.6709336638450623,0.6789015531539917,15.859406903115891,10.835908980769965,14.00230308321619,14.980082046173315,15.119559189704512,15.66700560012111,16.826950488252667,0.0782600972024381,0.1099307117247158,0.165151020120129,-0.0033052105776835,0.0606759007869005,-0.0352777458098658,-547.35046,114.922195,20.684639,28.967375,14.184715,12.734907,9.843177,3.6676927,5.8762865,3.7476273,-0.06458434,2.1261096,1.8919406
00006.wav,Chinese,True Story,True,-364.55093,133.2704,2.479226,36.376316,13.082856,26.90822,14.908596,-10.87257,1.3363099,1.584282,-8.4388075,-2.2214305,-5.1532245,-364.5509338378906,133.27040100097656,2.4792261123657227,36.37631607055664,13.082856178283691,26.90822029113769,14.90859603881836,-10.872570037841797,1.3363099098205566,1.5842820405960083,-8.438807487487793,-2.221430540084839,-5.153224468231201,0.5488332509994507,0.5590137839317322,0.5077810883522034,0.4469826817512512,0.3720454275608063,0.3678731322288513,0.3950066864490509,0.4915055334568023,0.5561226606369019,0.5764708518981934,0.5323953032493591,0.5091817378997803,23.689324087660005,12.405438827899882,17.908145764620677,16.486134256861273,18.82383955984245,20.11691696654405,30.41552164514376,0.0193009147486298,0.001024143936694,0.0060528021171677,0.0085614392139062,-0.0089201714878183,0.0002069363774079,-364.55093,133.2704,2.479226,36.376316,13.082856,26.90822,14.908596,-10.87257,1.3363099,1.584282,-8.4388075,-2.2214305,-5.1532245
00007.wav,Chinese,True Story,True,-374.08282,110.45373,32.62546,3.3549526,31.312399,8.571984,3.6938567,2.8911643,-0.1459357,-4.1282983,-0.53899854,2.3425908,2.5099735,-374.0828247070313,110.45372772216795,32.62546157836914,3.354952573776245,31.31239891052246,8.57198429107666,3.693856716156006,2.891164302825928,-0.1459356993436813,-4.128298282623291,-0.538998544216156,2.342590808868408,2.509973526000977,0.5893828868865967,0.606027364730835,0.5507256984710693,0.4282904267311096,0.3816944658756256,0.474464863538742,0.5386098027229309,0.5436248779296875,0.5853279829025269,0.6387273669242859,0.6196115612983704,0.5932191014289856,14.7932054537642,12.749070337743648,15.911492205982317,15.35975832124882,15.023222036223586,16.78061251282489,16.215826326620924,-0.0164259478652847,0.0446692709201497,0.0587465072847427,-0.1293987701727237,0.0408149558779536,-0.0380165563613035,-374.08282,110.45373,32.62546,3.3549526,31.312399,8.571984,3.6938567,2.8911643,-0.1459357,-4.1282983,-0.53899854,2.3425908,2.5099735
00008.wav,Chinese,True Story,True,-356.7597,138.31847,-25.393421,15.4791765,17.090172,-6.3314667,-2.7813554,-5.493258,-5.155217,-3.2660642,2.814076,6.149777,-9.087372,-356.7597045898437,138.31846618652344,-25.393421173095703,15.47917652130127,17.090171813964844,-6.331466674804688,-2.781355381011963,-5.493257999420166,-5.155217170715332,-3.266064167022705,2.8140759468078613,6.149776935577393,-9.087371826171877,0.3893492519855499,0.4534148275852203,0.466899573802948,0.4453691840171814,0.4424757063388824,0.3939485549926758,0.4214782416820526,0.4852965176105499,0.525202751159668,0.481127917766571,0.4259579181671142,0.3716084957122803,22.609472117527197,12.497689705383271,15.077022148699903,17.97822219932412,21.843666880814805,27.825987816005647,35.579510986601704,0.0009520043264343,-0.0209452625059118,0.0637664963277888,-0.0331220005736435,0.0106061185118212,-0.0145072271061365,-356.7597,138.31847,-25.393421,15.4791765,17.090172,-6.3314667,-2.7813554,-5.493258,-5.155217,-3.2660642,2.814076,6.149777,-9.087372
00009.wav,Chinese,Deceptive Story,True,-551.5738,74.4646,16.439089,27.400465,18.212145,4.154681,-0.89535934,-0.95069444,-11.091315,-8.427943,-4.683633,-11.846831,-12.012957,-551.5737915039062,74.464599609375,16.439088821411133,27.40046501159668,18.21214485168457,4.154681205749512,-0.8953593373298645,-0.9506944417953492,-11.091315269470217,-8.427943229675293,-4.683632850646973,-11.846831321716309,-12.012956619262695,0.5584088563919067,0.5168347358703613,0.4479427337646484,0.4021526575088501,0.3291434943675995,0.285642147064209,0.3003717958927154,0.376487523317337,0.4640772342681885,0.5615664720535278,0.585899293422699,0.5803543925285339,23.98045786534849,11.483173736724092,17.168153031795455,15.632851303416132,17.830624787937804,19.52364872892013,22.398361806786163,0.0158736004219275,0.0489692495597807,0.0684098990598175,0.0208573930990892,-0.0087388061045148,0.0046640554331739,-551.5738,74.4646,16.439089,27.400465,18.212145,4.154681,-0.89535934,-0.95069444,-11.091315,-8.427943,-4.683633,-11.846831,-12.012957
00010.wav,Chinese,Deceptive Story,True,-497.3762,90.067215,22.255978,9.819379,5.4212804,-7.281169,-13.152565,-11.947391,-0.9727565,4.964896,-1.7432281,-7.1327944,-9.9318905,-497.3761901855469,90.06721496582031,22.255977630615234,9.819378852844238,5.421280384063721,-7.2811689376831055,-13.152565002441406,-11.94739055633545,-0.9727565050125122,4.964896202087402,-1.7432280778884888,-7.132794380187988,-9.931890487670898,0.2815189659595489,0.2435360997915268,0.2562423646450043,0.279494047164917,0.2226599007844925,0.1842541247606277,0.2982130646705627,0.3968654870986938,0.5316386818885803,0.5489538908004761,0.4848648011684418,0.3580142855644226,22.29819053433089,19.24076550169788,19.39153323109672,24.121018906927475,19.66720121500633,20.665829478185355,22.481730904453247,-0.0081375936662585,0.0006750259004313,-0.0567193972197297,0.0575629214466033,-0.0152389960532437,0.007910985740987,-497.3762,90.067215,22.255978,9.819379,5.4212804,-7.281169,-13.152565,-11.947391,-0.9727565,4.964896,-1.7432281,-7.1327944,-9.9318905
